time	Distance4	Ax4	Ay4	Vaz4	Steer4	Throttle4	Brake4	Gear4	Speed4	LapTime4	RPM4	Fuel4	Distance5	Ax5	Ay5	Vaz5	Steer5	Throttle5	Brake5	Gear5	Speed5	LapTime5	RPM5	Fuel5	Distance6	Ax6	Ay6	Vaz6	Steer6	Throttle6	Brake6	Gear6	Speed6	LapTime6	RPM6	Fuel6	Distance3	Ax3	Ay3	Vaz3	Steer3	Throttle3	Brake3	Gear3	Speed3	LapTime3	RPM3	Fuel3	Distance8	Ax8	Ay8	Vaz8	Steer8	Throttle8	Brake8	Gear8	Speed8	LapTime8	RPM8	Fuel8	Distance9	Ax9	Ay9	Vaz9	Steer9	Throttle9	Brake9	Gear9	Speed9	LapTime9	RPM9	Fuel9	Distance7	Ax7	Ay7	Vaz7	Steer7	Throttle7	Brake7	Gear7	Speed7	LapTime7	RPM7	Fuel7
2.496000 10.578178 9.830138 -0.047449 -0.002494 -0.000960 1.000000 0.000000 2.000000 26.613495 2.490000 704.202332 9.154893 5776.113770 -0.260134 -1.003975 -0.032113 -0.010720 0.100000 0.000000 2.000000 24.559700 2.490000 628.872437 9.159429 5768.779785 10.483618 -2.410035 -0.172679 -0.052072 1.000000 0.000000 2.000000 24.431614 2.490000 684.095093 9.151409 5761.398438 9.360271 -1.041377 -0.042299 -0.013765 1.000000 0.000000 2.000000 24.974384 2.490000 694.442871 9.153300 5748.590820 10.411462 -0.830546 -0.037736 -0.011178 1.000000 0.000000 2.000000 24.990910 2.490000 679.252258 9.148889 5737.532715 10.488703 -0.275694 -0.011233 -0.002113 1.000000 0.000000 2.000000 24.172556 2.490000 657.966125 9.156127 5730.940918 10.269636 1.214562 0.048977 0.018737 1.000000 0.000000 2.000000 25.916920 2.490000 670.024536 9.146898 
2.542000 11.756457 9.840656 -0.081879 -0.004078 -0.001171 1.000000 0.000000 2.000000 27.065420 2.534000 715.881409 9.153058 5777.190918 -0.260047 -0.853722 -0.031788 -0.010114 0.100000 0.000000 2.000000 24.547205 2.534000 622.382690 9.159341 5769.864258 10.459667 -2.636520 -0.168373 -0.039523 1.000000 0.000000 2.000000 24.912922 2.534000 700.763062 9.149474 5762.501953 9.402508 -1.046635 -0.048654 -0.013457 1.000000 0.000000 2.000000 25.405367 2.534000 706.519470 9.151545 5749.698730 10.336847 -0.870560 -0.040725 -0.011139 1.000000 0.000000 2.000000 25.467257 2.534000 693.518372 9.146968 5738.601562 10.221307 -0.210358 -0.005660 -0.001368 1.000000 0.000000 2.000000 24.646580 2.534000 667.079895 9.154368 5732.087402 10.193841 1.421129 0.062009 0.018906 1.000000 0.000000 2.000000 26.387194 2.534000 680.716553 9.144990 
2.594000 12.953723 9.848397 -0.113187 -0.005003 -0.001282 1.000000 0.000000 2.000000 27.576488 2.578000 729.397766 9.150939 5778.268066 9.293447 -0.594005 -0.032053 -0.009271 1.000000 0.000000 2.000000 24.641762 2.578000 638.448853 9.158720 5770.969238 10.534430 -2.612869 -0.143235 -0.026073 1.000000 0.000000 2.000000 25.457426 2.578000 720.169189 9.147219 5763.624023 9.453103 -1.162233 -0.051503 -0.013885 1.000000 0.000000 2.000000 25.894989 2.578000 720.236633 9.149511 5750.827637 10.301015 -0.980776 -0.043440 -0.011564 1.000000 0.000000 2.000000 26.003113 2.578000 708.650635 9.144764 5739.688477 10.126037 -0.087476 -0.001871 -0.000253 1.000000 0.000000 2.000000 25.174622 2.578000 682.155273 9.152348 5733.251953 10.097117 1.667191 0.068462 0.019255 1.000000 0.000000 2.000000 26.914055 2.578000 692.955811 9.142810 
2.634000 14.170032 9.843393 -0.126145 -0.005261 -0.001253 1.000000 0.000000 2.000000 27.970089 2.622000 739.449829 9.149282 5779.352539 9.797519 -0.659914 -0.030800 -0.008150 1.000000 0.000000 2.000000 25.030466 2.622000 642.784424 9.157314 5772.094238 10.575291 -2.421677 -0.119249 -0.016734 0.992145 0.000000 2.000000 25.879221 2.622000 732.425049 9.145445 5764.764160 9.488068 -1.218804 -0.053442 -0.013830 1.000000 0.000000 2.000000 26.273348 2.622000 730.882446 9.147912 5751.975586 10.261779 -1.317141 -0.052205 -0.015817 1.000000 0.000000 2.000000 26.413900 2.622000 719.326111 9.143045 5740.795898 10.095040 0.020896 0.002954 0.001077 1.000000 0.000000 2.000000 25.578451 2.622000 694.567627 9.150764 5734.438477 10.022503 1.799445 0.070048 0.019137 1.000000 0.000000 2.000000 27.315987 2.622000 702.404053 9.141117 
2.678000 15.405383 9.797483 -0.135481 -0.005307 -0.001209 1.000000 0.000000 2.000000 28.401608 2.666000 750.252930 9.147436 5780.455566 9.580524 -0.736389 -0.026858 -0.008154 1.000000 0.000000 2.000000 25.455580 2.666000 648.777039 9.155762 5773.240234 10.557361 -2.163454 -0.090245 -0.009113 0.995745 0.000000 2.000000 26.342838 2.666000 744.089661 9.143477 5765.922363 9.529593 -1.509879 -0.058502 -0.017681 1.000000 0.000000 2.000000 26.691301 2.666000 742.576965 9.146117 5753.142578 10.209143 -1.409744 -0.054804 -0.015734 1.000000 0.000000 2.000000 26.863781 2.666000 730.676758 9.141134 5741.922852 10.090000 0.273429 0.010768 0.004205 1.000000 0.000000 2.000000 26.022020 2.666000 707.690979 9.148993 5735.646484 9.943704 1.805609 0.073454 0.017899 1.000000 0.000000 2.000000 27.754499 2.666000 712.971802 9.139243 
2.722000 16.659714 9.740110 -0.143130 -0.005111 -0.001197 1.000000 0.000000 2.000000 28.830866 2.710000 761.246765 9.145570 5781.576660 9.462111 -0.673998 -0.026074 -0.007536 1.000000 0.000000 2.000000 25.873682 2.710000 658.362488 9.154201 5774.407227 10.530161 -1.794922 -0.061625 -0.003391 1.000000 0.000000 2.000000 26.805723 2.710000 755.052734 9.141481 5767.098145 9.563074 -1.585534 -0.062179 -0.017736 1.000000 0.000000 2.000000 27.110836 2.710000 754.246704 9.144284 5754.330566 10.144939 -1.531600 -0.057196 -0.016310 1.000000 0.000000 2.000000 27.311090 2.710000 741.831238 9.139204 5743.068359 10.091683 0.391116 0.015574 0.005134 1.000000 0.000000 2.000000 26.465538 2.710000 719.836304 9.147197 5736.872559 9.624356 7.001771 0.266375 0.113683 1.000000 0.000000 2.000000 28.181831 2.710000 724.075073 9.137355 
2.776000 17.932846 9.696849 -0.134080 -0.004678 -0.001001 1.000000 0.000000 2.000000 29.355167 2.754000 774.492676 9.143250 5782.716309 9.359022 -0.631471 -0.024652 -0.006972 1.000000 0.000000 2.000000 26.380987 2.754000 671.806274 9.152261 5775.594238 10.424842 -1.364333 -0.026653 0.000265 1.000000 0.000000 2.000000 27.370565 2.754000 767.710144 9.139009 5768.292969 9.608272 -1.683893 -0.065429 -0.017799 1.000000 0.000000 2.000000 27.627684 2.754000 768.684814 9.141987 5755.538086 10.054196 -1.593985 -0.062835 -0.015946 1.000000 0.000000 2.000000 27.855593 2.754000 755.426819 9.136810 5744.234375 10.076145 0.529201 0.021732 0.006242 1.000000 0.000000 2.000000 27.009611 2.754000 733.626770 9.144955 5738.116699 9.684799 6.088603 0.297859 0.067144 1.000000 0.000000 2.000000 28.703222 2.754000 738.318115 9.135012 
2.828000 19.877787 9.644127 -0.142500 -0.004562 -0.001088 1.000000 0.000000 2.000000 29.857349 2.820000 787.113586 9.140986 0.507568 9.314077 -0.620309 -0.023915 -0.006548 1.000000 0.000000 2.000000 26.865791 2.820000 684.605469 9.150368 5777.414062 10.309558 -0.751814 -0.006054 0.003141 1.000000 0.000000 2.000000 27.908897 2.820000 780.159363 9.136606 5770.118164 9.640528 -1.918160 -0.069838 -0.020284 1.000000 0.000000 2.000000 28.127527 2.820000 782.621948 9.139721 5757.385742 9.960722 -1.897072 -0.066875 -0.018775 1.000000 0.000000 2.000000 28.375126 2.820000 768.546570 9.134480 5746.019531 9.980982 0.864450 0.030235 0.009741 1.000000 0.000000 2.000000 27.530775 2.820000 746.083069 9.142773 5740.020996 9.684076 4.449336 0.189980 0.022263 1.000000 0.000000 2.000000 29.204876 2.820000 749.944336 9.132734 
2.902000 21.864725 9.569342 -0.134489 -0.004183 -0.000975 1.000000 0.000000 2.000000 30.566969 2.886000 805.153198 9.137720 2.295349 9.242510 -0.586500 -0.021685 -0.005642 1.000000 0.000000 2.000000 27.551254 2.886000 701.491272 9.147634 5779.280762 10.148397 0.387586 0.047106 0.012997 1.000000 0.000000 2.000000 28.664331 2.886000 798.662903 9.133158 5771.985352 9.703544 -2.222930 -0.082157 -0.023164 1.000000 0.000000 2.000000 28.842398 2.886000 802.482788 9.136406 5759.277344 9.833994 -2.180495 -0.078211 -0.020999 1.000000 0.000000 2.000000 29.106352 2.886000 787.162048 9.131126 5747.848145 9.821401 0.960521 0.040339 0.009430 1.000000 0.000000 2.000000 28.262447 2.886000 764.004639 9.139636 5741.963379 -16.048426 2.770016 0.032719 0.013168 0.000000 0.322911 2.000000 29.072767 2.886000 695.022461 9.130826 
2.968000 23.893347 9.501818 -0.127670 -0.003804 -0.000900 1.000000 0.000000 2.000000 31.195442 2.952000 820.927795 9.134757 4.123409 9.161843 -0.526724 -0.018391 -0.004647 1.000000 0.000000 2.000000 28.157701 2.952000 715.850830 9.145161 5781.194824 10.012226 0.641155 0.040591 0.006708 1.000000 0.000000 2.000000 29.328472 2.952000 815.233459 9.130051 5773.894043 9.684378 -2.289814 -0.089494 -0.021241 1.000000 0.000000 2.000000 29.480959 2.952000 820.358398 9.133356 5761.210938 9.728494 -2.312411 -0.081833 -0.020448 1.000000 0.000000 2.000000 29.750772 2.952000 803.569763 9.128098 5749.720215 9.682251 1.326610 0.054607 0.012433 1.000000 0.000000 2.000000 28.904984 2.952000 780.123535 9.136812 5743.864746 -2.380579 2.712565 0.072648 0.015068 0.100000 0.000000 2.000000 28.195488 2.952000 686.717529 9.130374 
